what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1287073654789
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1287073654851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1287073655070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1287073693681
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287073724317
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287073793010
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287073799610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287073822753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075739591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075742337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075746728
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1287075749645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075754258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075757578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075763701
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075771229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075775653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075782070
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287075782512
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287075782644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287075828138
