what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286473459709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286473538692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286473577723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286473598003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286473599563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286473600780
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286473825296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475485459
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475487947
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475487947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475489532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475491416
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475491513
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475491513
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475493248
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475493248
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286475494927
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475494928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475522503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475550932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475555932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475562438
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475562620
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286475562707
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1286475575059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286475718132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1286475769792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475818585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286475850126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1286475965606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1286475979127
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286476010972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286476015320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286476030075
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286476030204
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286476030317
