what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1286993241620
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1286993241635
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1286993241635
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1286993241682
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1286993241729
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1286993241760
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1286993241807
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1286993241822
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1286993241900
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1286993241947
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1286993241947
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1286993242041
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1286993242056
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1286993242103
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1286993242181
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1286993242228
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1286993242244
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1286993242275
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1286993242337
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1286993242337
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1286993242400
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1286993242431
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1286993242478
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1286993242587
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1286993242587
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1286993242634
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1286993242696
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1286993242758
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1286993242836
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1286993242930
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1286993242946
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1286993242992
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1286993242992
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1286993243039
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1286993243070
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1286993243117
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1286993243133
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1286993243148
os,sysinfo,,,"win32",1286993243164
arch,sysinfo,,,"x86",1286993243164
ws,sysinfo,,,"win32",1286993243164
locale,sysinfo,,,"tr_TR",1286993243164
processors,sysinfo,,,"2",1286993243164
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286993243164
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1286993243164
java.specification.name,sysinfo,,,"Java Platform API Specification",1286993243164
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286993243164
java.specification.version,sysinfo,,,"1.6",1286993243164
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286993243164
java.version,sysinfo,,,"1.6.0_21",1286993243164
java.vm.info,sysinfo,,,"mixed mode, sharing",1286993243164
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286993243164
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286993243164
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286993243164
java.vm.specification.version,sysinfo,,,"1.0",1286993243164
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286993243164
java.vm.version,sysinfo,,,"17.0-b17",1286993243164
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1286993243632
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286993243741
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1286993243882
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1286993244022
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1286993244116
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1286993244256
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1286993244755
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1286993245005
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1286993245020
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1286993245442
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1286993245520
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993246502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993248983
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286993251042
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286993251120
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286993251151
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286993253039
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286993253039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993272274
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993316999
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1286993326063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993330353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993363939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1286993363955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1286993363955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993378682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993384610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993393642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286993396481
